,pred_str,text
0,agnäh mi temprature send amen sie stemzerwarte,ahgnähmi temperature send abem zischtig zerwarte
1,si das bet fode grossmettergange ond gseit grossemuet ter wass eschtu för grossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,eszgit anchinend johrgäng wo secheti de siorträfe wie niemertini zatifener glrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,frener het ond zwoei alpptrie böennieger gäh doch ei eper het sie susmetle befchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,djor föll drechtline vode wehao jehlos,die erföllt drichtlinie fode who mühelos
5,der jackt rit es pötespielmetenebeide ond dötend es bar om beteilegti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,ene grossiatsal fo sine uftragheber eschüdiston glaube gsi ond dademet em naze theroosgset,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede holage chön e d wenter dorch usstäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nachessder wärdachoesch escher em sächi scheroot ond stathalter fomerseboe si,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,schiezoma het dodor au et morde isogghalte ond het denn zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send deme techtferchnöfti franze sowiedeckekontleveziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini blacher wärde als gmöverwändet,au sini blätter wärde als gmües verwändet
12,bsonder sideromandi äntigren chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stattrotswahle em kant on gärn esch noffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächseisgjhrig sieht es parlmänti,die sächsedrigs jährig zieht es parlamänt ih
15,patriche ufstwetter klimaschotzexsperter bewew f schwiz isch aber ent düscht vode koferänz in madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
