,pred_str,text
0,ahgnah mit temperature send am zistiterwarde,ahgnähmi temperature send abem zischtig zerwarte
1,se esch ass beteode gros tergange ond gseit gross mueter wa s hescht ufö grossi jore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgidancin end jorkan wo sich ned idesjortäfe will nie mer dini zativen ergrifft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,frene etz on zwoei albbtriet beniger geh doch ae äler het sie shus metler wiele verchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dier crechgine  pse l as,die erföllt drichtlinie fode who mühelos
5,dejackt wit es böes spele tenebeidne ond dhörtet ess bar on beteihligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi atsäl vo sinne ufdrageber reschüdisch em glaube gsi ond dodemet em natet hefusgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hoch age chöndes wenter dorchus stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nach este werdacho esch escher em sächsische rot ond stathalter fo märsebor gse,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,sschissma het dodor au mi morde isogghalte ond deenzweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demet decht verchnöpf di franze owidike quasle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini better wärde as gmest verhändet,au sini blätter wärde als gmües verwändet
12,bsonder sederommandi en di grüene chönne punkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de eusgang fode stattrotzwahl em kante on gäl fösch noce,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächsedis giert es sieh des panemänti,die sächsedrigs jährig zieht es parlamänt ih
15,patri kufstätter klimaschossexsberte beweweb schwiz esch aber en tüscht fode konferänse madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,zo lötsech bluef studiom ond aklivipolitik bester veribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en stertno ond de ecki buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letstet täg sin ihn au strali het zwahrstorz buetu drisgi hagel chönner vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,owolde sommer feiesch er plekrelle ond heugentbrontwett,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,um bodiversitätt i de schwitsstots neg guet veli tier ond pflansate sigfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,diebs piic chals sognanti sprachzu texenscin sprochniks ächsit i texstkompentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,den gnat flagke zum eschtmoessur esch lot sech nömme lofeschtstelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au ehm öno ufenglechetzignosse zeitder ändleche m ot meinig,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,do drf abe heter sech zom köne oc reffe,dodrufabe heter sech zom könig lo usrüefe
25,ener aub vochoe zitscthwelledi betrofene stelle ah wär de heiz rot ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händ jetz er räftig nordeschtstrüme for d störigi ers bes es mettelme erumine brent,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,de ua ond au d foralte regione blibe sonnig,de jura ond au dvoralperegione bliebe sonnig
28,i elch sue öberhontet distdusiggeist de baroksäll vo de steftzbibliotek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,uigure aber au kasastane tatare oder kiwise,uigure aber au kasachstane tatare ond kirgise
30,ich befene clage ond dranglassiert worde globt ond belont,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de technockrk esch es paradis verstadab onternähme ond jongi töftler wu hre entwicklig zomd dwöch boch verhelve änd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es set defürssie abere grossi schance veli fo ihne amzkollegedwäffe wen au echorze zit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sonden losträteugenleche wu ets grossi paare e schwetze brenge,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,esseref ewett smationaltim hut nöch dordwm ond zeigt exsklosivbelder vo de schwizer liechtatletine ond echtatlete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es wardedt nemer ofdech,ond es wartet niemert of dech
36,ich amieni härz edi keit netestelle wendu brüersch as wärdi särzg broche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,eri s ernd emmer alles eg,er esst mer emmer alles weg
38,es send dbärnech haftwäch sälbe gsi wodd aschaffe beschloste händ,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem het e si agscto ond het e prozas on sachlech gwüerd,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
40,e dem familliedrama wehrd en stüri triberpoteretier wo bescholdigwerd bestächig eder agnazha,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
41,de meshhes sehn ond diahlök sind i provisiert forde,die meiste szene ond dialög send improvisiert worde
42,i bie da stöckkret nach mine eune a mirowisiere,ich be das stöck grad nach minere lune am improvisiere
43,eächgqecäeshgqewohpfsxhcxebcihgleqixpfsx ieneqigwogzqsigrnhigc,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
44,er esch nemme wellepare wil siest föi weto het,er esch nöme velo gfahre well sis födli weh do het
45,sm het su de nase grebe,sam het sech dnase grebe
46,kenaeso hani glot won ie dersti gseh hand,genau eso hani gluegt woni de ersti gseh han
47,erhet hand usgsteckt ond em schin fode lampe hanigseh das zwöifo sinesmöchel ufgschöfsendgsi ond blitet händ,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
48,usglient häni s e gstohle,usglehnt hanis ned gstohle
49,meennz aber storlt ond schnei esch de früelignömme wit,wens aber störmt ond schneit esch de früehlig nöme wit
50,sidanz met jede ote wörzalt,sie tanzt met jedem wo deför zahlt
51,mir wärde warsche ech alli unbehosfese,mer wärde wahrschindlech alli onbeholfe si
52,dsungeblib üser haute und zwar bis mittinami,d sunnä blibt üs erhautä und zwar bis mitti nami
53,oder hut kontakt mit denä öl isch gsund hedlech un bedänklich,o dr hutkontakt mit denä öl isch gsundheitlech unbedänklech
54,dert wärdä bsunders dachbaukä d standteile für bärghötte produziert,dert wärdä bsunders dachbaukä und beschtandteilä für bärghüttä produziert
55,är isch eine voa mitbegründer vom jungä dütschwizer spiufium,är sich einä vodä mitbegründer vom jungä dütschschwizer schpiufium
56,aus frou het isech d nuglichkeit v ä chabilitation müsse ehämpfä,aus frou hetsi sech d müglechkeit vorä habilitation müesse erkämpfä
57,d baarbeuz isch fürn ree vo tier artäsgründlech ungersuecht wordä,d paarbiudig isch fürne reihe vo tierartä sehr gründlech ungersuecht wordä
58,neu ischer idi dammelige volkzen integriert wortä und isch zumene bekante finger pkingitarischt wordä,schnäu ischer idi damaligi folkszenä integriert wordä und isch zumene bekanntä fingerpickinggitarrischt wordä
59,lut tim wirtschafts ediker d homas beschobener wärdä ungernähme zuenämets zubpolitischak törä,lutem wirtschaftsethiker thomas beschorner wärdä ungernähmä zuenähmend zu politischä akteurä
60,är isch gwäut wordä drotz de dri zit wo iihm si agaschtet wordä,är isch gwäut wordä trotz dä defizit wo ihm si aaglaschtet wordä
61,d gross muet onds rotchäpp di e ch napim erbeidi,d grossmueter und s rotchäppli die schnappimer beidi
62,das i di bescka gsee,dassi di besser cha gseh
