,pred_str,text
0,agnemi temperature send and zistizerwarde,ahgnähmi temperature send abem zischtig zerwarte
1,siesch as bätoe grosotergang ond gseit gross muet er was heshtuf för grossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgidancenend jorkang wo sech nededersorteufe weld miemer dimizatifenergrifft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,fener hetz od zwoi albdrie benigergäh doch  älbe het sie susmedler wilefchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dier ecreccine ode a ps,die erföllt drichtlinie fode who mühelos
5,dejakt wit es bö speletenebeide ond döted es bare onm beteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi atzalfo sine uftraggeber eschüdischt em glaube gsi ond dodemet eme nazetheusgsätt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochagech hönd edwenter dorch sstäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nach es derwrdacho esch esch er em sächsi scherot ond stathalter fo mersbor gse,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schissma het dodor au e morde itzogghalte ond deen zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send ermedechtferchnöfti franz oviedike quasleverziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini dbeterbwärde als gmest verändet,au sini blätter wärde als gmües verwändet
12,bsonder sederomandi nti grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fo de stattrotzwal em kant on gänf escnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächsedrisgjeet siede palmänti,die sächsedrigs jährig zieht es parlamänt ih
15,patri chofstädder klimaschosegsberte bewew eb schwiz esch e aber enttüsct fode konferene modrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so löd sech bruef studium ond aktivipolitik besser veribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en stergna ond de icki buechfom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
