,pred_str,text
0,ahgnähmit temperature send an zistier warde,ahgnähmi temperature send abem zischtig zerwarte
1,sie sch ass betoe grosseter gange ond gseit gross mu et der wasestuf för grossi ore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgidancinent jorkan wo sech neide sortäfe wild niemertinizatiener grifft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,fene het zom zwoialbtrie benigergeh doch eäl het siesh usmetlerwile vechauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dier ecreccine pde  iqps,die erföllt drichtlinie fode who mühelos
5,dejackt wit es be spele tenebeineond dhöted es bar onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi atzälfo sine oufdraggeber eschüdischt em glaubegsi ond dohdemet ehm naht heusgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochagechönewenter dorchussdäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nach este werdacho isch escherem lächsische rot ond stathalter fomersebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schissme heit dodor au i morde izogghalte ond deenzweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send e met dechtferchnöfti franze soviedeckel kuasleverziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,a sini vfäterwärde als gmüst verändet,au sini blätter wärde als gmües verwändet
12,bsondesiede omandi ati gwüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stattrotzwahl em kante on gälfeschnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächsedrisgje e ie es palmäntie,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hofstäter klimaschoegsbete bevev vschwiz esch aberen tüst vode konferänze madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,solönsech bruef studiom ond aklifi politik besserveribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en serkne ond e ecki buechfomwolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ide letstet täg sin en au strali e zwahrstorzueto risgi hagel chöner vom hemel keit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,awode sonbervefie scheerplet klelle ond heulgönpront wet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biodiversitäti de sche schot snet guet vellitier ond pflansate se gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,divs piich chals sognanti sprach zutexensin gsprochnigs ähsit i texst komventiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,den genautflake zuom mestemoessud esch lotsech nöme lof eschstelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au emeno ufenlechetsignos zeit deändleche motmeini,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,dotrfabe heter sech zom könniusserwefe,dodrufabe heter sech zom könig lo usrüefe
25,eneraup fo choze zitschwelledi betrofene stelle ah wärde heiz rot ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händjetze häftig norweschttstrem wo d störigi espes es mettelmeruminebrengt,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,dua ond au d voralteregione blibesonnig,de jura ond au dvoralperegione bliebe sonnig
28,ielch bsoemberhondet isdusig geist de barocksl vo de steftspiblotek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,oi gure aber au kalse stane tatare oder kifise,uigure aber au kasachstane tatare ond kirgise
30,ich befene lage ond tranglassiert worde globt ond belint,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de techneocark esch es paradis ver stardabonternäme ond jongi töftler wo rentwecklig zom doechbochverhälfeänd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es se fürs si abere grossi chanse velli vo ine anzkollegeträfe wenn au hchorze zit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sonden losträte ogenleche wo es grossipare es schwetze bringe,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,sseref eeitet smationaltin hunt nöcht dortwm ond zeigt xsklosivbeldert ode schwize lichtatlettine ond echtatlette,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es arted emerof deech,ond es wartet niemert of dech
36,ich amini härzzetikeit net stelleventoblüech as wädi särzbroche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,äerris e emmer alles äg,er esst mer emmer alles weg
38,es send d bärne chraftwächsälpel gsi wo daschaff beschlosze händ,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,ossedem heter si agschro ond het de prozez onsachlech güert,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
40,edem familliedram wehrden stüri triperpoteretie wo bescholdigert bestächig el der agnozhah,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
41,die meessen ondtiallög sind i provisiert worde,die meiste szene ond dialög send improvisiert worde
42,i be da stöckgräat nach minelunamirowisiere,ich be das stöck grad nach minere lune am improvisiere
43,igqäcigqwphebciöpqip ieneqigiwgsigngc,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
44,er esch neme wellofarebil sies föi wet to het,er esch nöme velo gfahre well sis födli weh do het
45,sem het zo denase grebe,sam het sech dnase grebe
46,kenao hani glotwoni derscti gseh han,genau eso hani gluegt woni de ersti gseh han
47,er het d handusgshteckt ond em schin vode lampa hanigseh das zwei vo sine echa lufgschöfzien gsi od bplutet hän,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
48,usglient hani s e gstolle,usglehnt hanis ned gstohle
49,wenns aber sternt ond scheit esch de felig nömme wit,wens aber störmt ond schneit esch de früehlig nöme wit
50,sitans met jede o dörtzalt,sie tanzt met jedem wo deför zahlt
51,mi werde war selech alli onbehoffe si,mer wärde wahrschindlech alli onbeholfe si
52,umboblibuser haute und zwahrbismittinami,d sunnä blibt üs erhautä und zwar bis mitti nami
53,oder hutkontakt mit denä öl isch gsundhetlech un bedänklich,o dr hutkontakt mit denä öl isch gsundheitlech unbedänklech
54,dert wähdä bsunders tachbauka unä schtanteilä vür bärghüttä produziert,dert wärdä bsunders dachbaukä und beschtandteilä für bärghüttä produziert
55,är isch einä voa mitbegründä vom jungä dütschwiter schpiufium,är sich einä vodä mitbegründer vom jungä dütschschwizer schpiufium
56,aus frou heti sech d nuglechkeit vo eä habiitation müsse eämpfäe,aus frou hetsi sech d müglechkeit vorä habilitation müesse erkämpfä
57,d barbuz esch vürne rei votier artä g lüntlech ungersuecht wordä,d paarbiudig isch fürne reihe vo tierartä sehr gründlech ungersuecht wordä
58,neu ischer ididamaliche volkzen intä grietwortä und isch zummenä bekante fingerpickingitarischt wordä,schnäu ischer idi damaligi folkszenä integriert wordä und isch zumene bekanntä fingerpickinggitarrischt wordä
59,lut im wirtschaftz ediker tomas beschuenner wärdä ungenämä zuenäms zu politischaktöreä,lutem wirtschaftsethiker thomas beschorner wärdä ungernähmä zuenähmend zu politischä akteurä
60,är isch gwäut wordä trotzdä deizit wo ihm si agaschtet wordä,är isch gwäut wordä trotz dä defizit wo ihm si aaglaschtet wordä
61,d gros mues on s rotchäppi di schnappi irbeidi,d grossmueter und s rotchäppli die schnappimer beidi
62,dass i di besicha gsee,dassi di besser cha gseh
63,lanwirtschafts flächä ägäs lanschaftsbiut vom schwizermittuland,landwirtschaftsflächä prägä s landschaftsbiud vom schwizer mittuland
64,breid blättrigs chnabachut dia orhee ischi schwiz gschützt,breitblättrigs chnabächrut  die orchideä isch ir schwiz gschützt
65,wo obspöim shtö chö i regumässig gartävögu wi der gartäodschpanz oder de schpächt beowachtä zärdä,wo obschtböim schtö chöi regumässig gartävögu wi dr gartärotschwanz oder dr schpächt beobachtet wärdä
66,ä knau gäupe shmätterig flattere übertwisä,ä knaugäubä schmätterling flatteret überd wisä
67,die trisg kuadratmeter grossi landwitschaft chöimer nichnaturschotzslerbuech tflegä,die drissg quadratmeter grossi landwirtschaft chöimer nid nach naturschutzlehrbuech pflegä
68,es si min trässe vor wüsseschaftz wementode vor komplementärmetizin wüsseschaftlech erforscht würdä,es sig im inträssä vor wüssäschaft we methodä vor komplementärmedizin wüssäschaftlech erforscht würdä
69,ab nünzhät rüesächzg isch d verwändigvragi und verbottä wordä,ab nünzähdrüäsächzg isch d verwändig vo radium verbottä wordä
70,in lasainscheless gsächa jogendlechi in durchschnid vier aukohou wärbigä am tag,in los angeles gsächä jugendlechi im durchschnitt vier aukohouwärbigä am tag
71,d lindä isch pis i mereri meter höchi mit chnoueä bülä und wucherigä überseit,d lindä isch bis i mehreri meter hööchi mit chnouä bülä und wucherigä ubersäit
72,dr averspilerbaij isch blitz schnau fürä gschossä und het perchopztbauvou ändet,dr abwehrschpiler beier isch blitzschnäu fürägschossä und het per chopfbau vouändet
73,ä schtürnischä herp shbringz gwitter und chauti loft,ä schtürmische herbscht bringt viu gwitter und chauti luft
74,di dänichi regierig wo dmiti no fämberbiireis vo schweä nachdänemarkü grän konraua iifüehrä,die dänischi regierig wott mitti novämber bir iireis vo schwede nach dänemark wider gränzkontrouä iifüehrä
75,so sigabin china mit dr asiatischä infrastrucktur inwestmentbänk ä gägenentwurh zum iwirf entsctandä,so sig öppä in chinä mit dr asiatischä infraschtruktur investmentbank ä gägäentwurf zum iwf entschtandä
76,handletsechs drbii um me aus nomanachheiveangerricht,handlet sechs drbi um me aus numä nachhiufeungerricht
77,s nouborä h höepunkt un diachtusigwändi erreicht mittlerwilä nämbed zahla vos noubortfahre tendenzeel ab,s snowboardä het si höhepunkt umd jahrtuusigwändi erreicht mittlerwilä nämä d zahlä vo snowboardfahrer tendenziell ab
78,und wi sctopt irronalo,und wi schtopptmä dr ronaldo
79,am suntig und aäntig zitwiis sunnig,am sunntig und am mäntig zitwiis sunnig
80,sie schefbezeichdär aus go befründ,si chef bezeichnet är aus guetä fründ
81,umä söt ändlech mit der suventionierig vossilä bröndsctoffä ufhöi,und mä sött ändlech mit dr subventionierig vo fossilä brönnschtoffä ufhörä
82,es isch aber chumz erwartä dass dnashäti rundfüfezwänzg milliarde ustoler zuesätzlech bechunt wo si für das projekt kalkulet het,es isch aber chuum d erwartä dass d nasa die rund füfäzwänzg milliardä usdollar zuesätzlech bechunnt wosi für das projekt kalkuliert het
