,pred_str,text
0,agnamit temperature send and zi stiterwarde,ahgnähmi temperature send abem zischtig zerwarte
1,siech as bete grosetergane ond gseit grossemuet der wass estu för grossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,sgidanceend jorga wo sech ne tessiortaufe wed niemertini zativenergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,fener hetsn zoi alpptrie penigergeh doch gelee het sie susmetlerwille vrchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,derjtreztlene jew,die erföllt drichtlinie fode who mühelos
5,de ecktrit es bö spelle dnebeine ond dödet es bar om beteilegti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,engrossi atzlfosine ofdraggber eschüdischt em glaubegsi ond dodemet emenazit heusgsezt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochägle chönitwenter dorchusstäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevor de nach esder werdacho esch esch er em rächsi scherat ond statthalter fomersebor gse,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisme het dodor au i morde izokhalte ond deen zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demet dechtver chnöfti franzeowitike kuasle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini beter wärde asgmüesferandet,au sini blätter wärde als gmües verwändet
12,bsonder seder omandi ad dig rüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgan fode stattrotzwahl em kane om genfeschnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächsedrisgihe et siede palmänti,die sächsedrigs jährig zieht es parlamänt ih
15,patri chofstätter klimaschoegsberte bvvf schwiz esch aber entüsct fode komferänemadrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so le sech bruef studiom ond aktifipolitik besder veribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en scerkno ond deicki buchfom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letshte täg sid e australi et zwarstortzgueto risgi hage chöne vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,aborde sommer ferriescheerblekrelle ond eugeemtront wet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biordiwersität ide schstotzsnegguet veli tierond pflanzate sien gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,diebs biic hals sognantisprachtzotex enschin sprochnig si äctit i texst kommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
