,pred_str,text
0,agnäh mi temperature send änd zie stiter warde,ahgnähmi temperature send abem zischtig zerwarte
1,sesch as betder grossetergange ond gset grossmuet der waseschtu för grossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgiedanchinent jorka wo sech netesijortäfe wild niemer die nizatifen ergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,feneretz on zwoi alpptrie beniger geh doch a ler het siesusmetler willeverchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,e etesktine  he j gxso,die erföllt drichtlinie fode who mühelos
5,der jacktrit es pöe spele tenebeideond dötet es bar on beteiliggti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahtzal fo sine uftrageber eschüdishtem glaube gsi ond dodemet em nateteusgset,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochagech hönnit wenter dorchos s däng wäerde,ede hochlage chönne dwenter dorchus sträng wärde
8,befvorde naches der werdacho esch escherem rlächsische rot ond stadthalter fomersebor gse,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s scisma het dodor aumet morde izog ghalte ond deen zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demetdecht ferchnöpfti franze sowiedike kuasle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini better wärd als gmöest verändet,au sini blätter wärde als gmües verwändet
12,sonder s ede reomadi äti grüehne chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang vode stadtrotswahle em kanton gänfe schnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächsedrisggüet et siehdes palamäntie,die sächsedrigs jährig zieht es parlamänt ih
15,patrichoofstäter klimaschoexsbeerte bewew f schwiz esch aber entüsht fode konferänte madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
