,pred_str,text
0,agnäh mit temperature send an zisteterwarte,ahgnähmi temperature send abem zischtig zerwarte
1,siesch as beto grosseter gano ond gseit grossmuet der wasesch to för grossi ore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,es gidanschin end jorkan wo sech niidesiohrtfe weld niemer dinizativen ergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früener hetz on zwoi albdrie beniger gäh doch aäle het sieshusmetler wille verchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,tier et rectine jode foh rhs,die erföllt drichtlinie fode who mühelos
5,detcjackt wit es peles spelle tenebeide ond döt ed es bar on beteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grosssi atzal fo sine ouftraggeber e schüdischt em glaube gsi ond dodemet em natet heusgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochage chön edwentter dorchus stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nachsder werdacho esch escher em lächsischte rot ond statthalter fomärsebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,sschissma het dodor au e morde itzsogghalte ond deen zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demettecht fechnöf ti franze szowiedicke xuasle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini beter wärde asgmüesverwändet,au sini blätter wärde als gmües verwändet
12,bsonder sede omadi atig rüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode statrotzwahl em kanton gälfenoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächsedrisgier et siedes pallmänti,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hoofstätter klimaschozsgsberte bww evschwiz esche abber en tüsct fode konferänemadret,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so löt sech bluef studiom ond aktivipolitik besser veribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,är et den stärkno ond deecki buch fom wolf ufgschnete,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letste täg sene in australli e zwah shttorzuet orisgi hagechö ner vom heme gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,ofolde sommer fobiescheerble grelle ond heugönt pront wet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,omn biodiversität ide schistotz netg guet velli tier ond pflanzzearte si gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,diebs biisch hals sognanti sprachtzutex entschin sprochnigs ächsit i texstkommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,den genat flagge zum meschtem oessorr esch lot sech nöme loh feschtstelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au emeno ufänglech etsignos zeit derändleche mod meinig,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,dodrfabe heter sech zom könassergeffe,dodrufabe heter sech zom könig lo usrüefe
