,pred_str,text
0,ahgnähmit temperature send and ziestiter warde,ahgnähmi temperature send abem zischtig zerwarte
1,sie esch as bedze gosotergange ond gseit grossemuetder basest u för gossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgitancinend johrgan o sech ne edesüohrtäfe weld niemer dinizatifener grifft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,frener et s and zwoi alptrie peniger gah doch äeäle het sie susmetler wilefchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,erjtrecztne ww w lws,die erföllt drichtlinie fode who mühelos
5,deek t wüt es böte spele dene beine ond döted ss bar on beteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzäl fo sine ufdrageber eschüdischt em glaube gsi ond dodemet ehm nahzet herusgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hocäglechönd e wenter dorchus stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nach elter werdachoeisch esch er em rächsische rot ond stathalter  vo mersebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisme heit dodor auit mordeito ghalte ond deenzweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie sönde met decht fer chnöfti franze sowiedecke cuadleverzierd,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bäter wärde als gmüst verandet,au sini blätter wärde als gmües verwändet
12,bsonder sede r omandi ud di gröhne chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stattrotzwal em kane ond gähne fer chnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächse deisgjet et sie des palemänti,die sächsedrigs jährig zieht es parlamänt ih
15,patric hofstetter klimaschosexsberte bwwv schwiz isch aber en tüüst fode onferänzemadrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lösech bruef studiom ond aklivi poliik bester veribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het em sergnao onder icki buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ide letzschte täg sihn ene au stralli et zwahr stortzuetoerisgi hage chöner vom hemmelgheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,o wode soner verbiesche derblet grelle ond heugöm brontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biodiwersität ide schstotznid guet veli tier ond pflanziate si gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,dibsbiisch hal sognanti spracht zu tex enscin sprochnigsi siti texstg ommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,den gnaflacke zo m est moessoresch lot sech nöüme lof eschtstelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au emene ufänglech ezignos seitder ändlech e mat eni,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,doterf abe heter sech zom köni ossergüeffe,dodrufabe heter sech zom könig lo usrüefe
25,enerhaubpfvr chorze zitshwelle di betrofne stelle a währde heiz rot ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer hand jetze äftig norwesctstöm wo d störigi esbeses mettelmer uine brent,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,de ura ond au d voralteregione blibesonnig,de jura ond au dvoralperegione bliebe sonnig
28,elech vsue öberhondet disdusig geist de barochsäll vode steftzbiblutek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,ui gure aber au kalsastane tatare oder kiise,uigure aber au kasachstane tatare ond kirgise
30,ich befene klage ond d ranglasiert worde globt ond belant,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de technocark isch es paradis vor sarda bonternäme ond jongi döfteler wo erentwecklig zom döch boch verhälveänd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es se efürs si abere grossi schane vili vo ine anzkolege dräffe wen au i chorze ziit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sonden lostwäte fougenleche wouetsgossi pale e s schwitze brenge,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,seröfteeitt snationaltim hut nöcht dord wm ond zeigt exfrousivfbeldert fode schwize liechtatletine ond ichtatlete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond esarded demer ofdeec,ond es wartet niemert of dech
36,ich a mini härzeätikeit ne estellemendo brüersch ols wärdisärz broche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,erish ön emmer alles ä,er esst mer emmer alles weg
38,es send bärnechhaftwächsälbe gsi wo d schaff beschlos e händ,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem het er si agscto ond het de prozas onsachelef züert,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
40,edem familiedrama wehrden stüri triberpoteretier wo bescholdigt wehrd bestächlig zolder agnazhah,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
41,di meeszsiehn ond diallög sind i browisiert  worde,die meiste szene ond dialög send improvisiert worde
42,i be da stöckt trat nach minelunamiowisiere,ich be das stöck grad nach minere lune am improvisiere
43,uüerltrcedueüeglzduewüeutevxtlgsleuücplüvellrldrtruäulrt,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
44,er esch nöeme welleofare wil siesfee wieto het,er esch nöme velo gfahre well sis födli weh do het
45,sem het sodenase grebe,sam het sech dnase grebe
46,genao hani gluot woni derschti gse han,genau eso hani gluegt woni de ersti gseh han
47,er het d handusgseckl ond em schin vode lanpahanigsehdas zwoei fo sinemeche lufgschöftsindgsi ond blutet händ,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
48,usglint hani sogstolle,usglehnt hanis ned gstohle
49,wens aber stöhnt ond schnet isch de rüelignöme wit,wens aber störmt ond schneit esch de früehlig nöme wit
50,si tanz met jerd vodförzalt,sie tanzt met jedem wo deför zahlt
51,me wäerde warselech alli onbehoffer see,mer wärde wahrschindlech alli onbeholfe si
52,ungerbli biser haute und zwahrbis mitti nami,d sunnä blibt üs erhautä und zwar bis mitti nami
53,oder huzkontakt mit denä öhl isch gsundheitlech un bedänklech,o dr hutkontakt mit denä öl isch gsundheitlech unbedänklech
54,dert wädä bsunders dachbauka unde schtandteile für bärg hütter produziert,dert wärdä bsunders dachbaukä und beschtandteilä für bärghüttä produziert
55,ä isch eine voä mitbegründer vom jungä dütschwizer spiufium,är sich einä vodä mitbegründer vom jungä dütschschwizer schpiufium
56,au s frou hetsi sich d nügleckeit vo ä habiltation müse egämpfä,aus frou hetsi sech d müglechkeit vorä habilitation müesse erkämpfä
57,d barbeutz isch fürne reiä vo tier artä segrüntlech ungersuecht wordä,d paarbiudig isch fürne reihe vo tierartä sehr gründlech ungersuecht wordä
58,d näu ischer idi dammelic volkzen inte kriert wordä und isch zummene bekantefingerpikingitarischt wordä,schnäu ischer idi damaligi folkszenä integriert wordä und isch zumene bekanntä fingerpickinggitarrischt wordä
59,lutem wirtschafftz edtiker thomas beschabener wärdä unmernämä zuenämetszu boliti schakdörä,lutem wirtschaftsethiker thomas beschorner wärdä ungernähmä zuenähmend zu politischä akteurä
60,är isch gwaut wordä trotzdä dizit wo ihm si aaschtet wordä,är isch gwäut wordä trotz dä defizit wo ihm si aaglaschtet wordä
61,d gros mues und s rot chät di e sch na bim erbedi,d grossmueter und s rotchäppli die schnappimer beidi
62,das i die besich ha gsee,dassi di besser cha gseh
63,landwerschafts flächä ägä s landschaftsbiut vom schwizer mitdu land,landwirtschaftsflächä prägä s landschaftsbiud vom schwizer mittuland
64,breit blättrigs chnabachut dia orhia isch irschwiz gschützt,breitblättrigs chnabächrut  die orchideä isch ir schwiz gschützt
65,wo obspöim schtu chöiregumässig gartäfögu wieder garterortschwanz oder de schbächt beobachtä zwärdä,wo obschtböim schtö chöi regumässig gartävögu wi dr gartärotschwanz oder dr schpächt beobachtet wärdä
66,e knau gaup schmätteriings flattere übertwissä,ä knaugäubä schmätterling flatteret überd wisä
67,die trisg uadratmeter grossi landwitschaft choöime nicknaturscho zlehrbuchpflegä,die drissg quadratmeter grossi landwirtschaft chöimer nid nach naturschutzlehrbuech pflegä
68,es simin trässä vor wüsseschaftz weme todä vor konplementärmäedizin wüsseschafftlech erforscht würdä,es sig im inträssä vor wüssäschaft we methodä vor komplementärmedizin wüssäschaftlech erforscht würdä
69,ab nüntzhät drüesächzg isch d verwändig vradi un verbottä wordä,ab nünzähdrüäsächzg isch d verwändig vo radium verbottä wordä
70,in laseinscheles gsächä jogendlechiend durchschnit vier aukohou wärbigä an tag,in los angeles gsächä jugendlechi im durchschnitt vier aukohouwärbigä am tag
71,d lindä isch bis i mereri meter höchi mit chnouuä bülä und wucherigä überseit,d lindä isch bis i mehreri meter hööchi mit chnouä bülä und wucherigä ubersäit
72,dr abershpilder baie isch blitz schnau fürä gschossä und het perchopffbau vou ndes,dr abwehrschpiler beier isch blitzschnäu fürägschossä und het per chopfbau vouändet
73,ä schtürnischä herbehbring gl gwitter und chauti lufft,ä schtürmische herbscht bringt viu gwitter und chauti luft
74,die dänischi regjierig wo d mitti no fänmberbirireis vo sch weedä nach dänimarkwüde grän kontrouä iifüehrä,die dänischi regierig wott mitti novämber bir iireis vo schwede nach dänemark wider gränzkontrouä iifüehrä
75,so sigabin china mit dr asiaischä infrastruktur in westment bänk ä ggenentwurch zum ihwiaf intstande,so sig öppä in chinä mit dr asiatischä infraschtruktur investmentbank ä gägäentwurf zum iwf entschtandä
76,handlert sechs drbi umd me aus mo ma nachheivä angerrichht,handlet sechs drbi um me aus numä nachhiufeungerricht
77,ss nou bordä höpunkt um diah tuussigwändi erreicht mittlerwille nämed zahla vos noubortfahrä tendenziehl ab,s snowboardä het si höhepunkt umd jahrtuusigwändi erreicht mittlerwilä nämä d zahlä vo snowboardfahrer tendenziell ab
78,und i schtoptdueroanalo,und wi schtopptmä dr ronaldo
79,am suntig und aäntig zitwiis sunnig,am sunntig und am mäntig zitwiis sunnig
80,sie scheft bezechidär aus gtäfründ,si chef bezeichnet är aus guetä fründ
81,ummä söt ändlech mit der subentionierig vo ossila brönd schtoffä ufhör,und mä sött ändlech mit dr subventionierig vo fossilä brönnschtoffä ufhörä
82,es isch aber chuumz erwartä das d nashädi rundfüfezwänzg miliard ustoller zusätzlech bechunt wo si für das brojekt kalchulict het,es isch aber chuum d erwartä dass d nasa die rund füfäzwänzg milliardä usdollar zuesätzlech bechunnt wosi für das projekt kalkuliert het
83,im betrig machtder dr parnäp ufem betribs eigenä weze,im betriib machter dr powernap ufm betriibseigene wc
84,no betrei hiet iticki sächshunder bi siba hundert meter,no betreit hie d iisdicki sächshundert bis sibähundert meter
85,s ärner soziauamt isch am mäntig vormitag fürne stellignahm nid ereichbar si,s bärner soziauamt isch am mäntigvormittag fürnä schtellignahm nid erreichbar gsi
86,gopola hetse  angeri unabhängigi schtutijos aglegt,coppola hetsech no angeri unabhängigi schtudios aagluegt
87,dänä het isich ernöi ecxischtänzmüssä ufbuä,dänä hetsisech ä nöii exischtänz müesse ufbouä
88,i het sech für ie voreligi bemerki gschämt,si hetsech für iri voreiligi bemerkig gschämt
89,bringg häg seifva ch um und brsierder mit hetzsseit,bring die häx eifach um und pressier drmit hetsi gseit
90,ziet säch niedervoh erhat,si hetsech nie drvo erhout
91,vilech gwini im närhschte kampf hei dagseit,vilech gwinni im nächschtä kampf het dr scida gseit
92,und ja isch ba ostringhaut,und ja i schparä o s trinkgäud
93,du heschnä gä unddes gschbuhter,du heschnä gärn und das gschpürter
94,du amtsisch solliet winä fäderä,du tanzisch so liecht winä fäderä
95,dr staudam sitti l frusbiegig eicherge länk entsto,dr staudamm sötti in dr flussbiegig aicher gelenk enstoh
96,mir händ vil mit s raulichä dumänd ztue,mir hän viel mit vertrauliche dokumänt z due
97,seggegitsin üsche übal,zecke gits inzwüsche überall
98,aber der foogel und audkoiote und bäre sind im rezänte eckorbisse färn blibe,aber dr vogel und au d kojotä und bäre sind em rezänte leckerbissä färn bliibe
99,für ganzvo sim ehresüger sind die relatif ine a guarie kantsiche problematisch,für ganz grossi meeressüüger sind die relativ kliine aquarie ganz sicher problematisch
100,ei antwort isch nid bekant wode,ei antwort isch nid bekannt worde
101,noch zwei ollübischi italie und zwei weltmeister zitel het dr gündefenigsi laufbahn beärnmded,noch zwei olympische medallie und zwei wältmeistertitel het dr gündepfennig sini laufbahn beändet
102,dr vorsag e vodr rumänische elite unterstützzt warde,dr vorschlag isch vo dr rumänsiche elite unterstützt worde
103,vo de hrt us isch es witer ufbwerz gange,vo dört us isch es wiiter ufwärts gangä
104,in lu zärn hämm am istig moi hochnäbel,in luzärn hänmr am zistig morge hochnäbel
105,aber nur d ie stu zördere wird nüdt ändere,aber nur d priester z fördere wird nüd ändere
106,vo däne händ sächse achzi komunün prozänt e wross unschnoch ere partner schafft,vo däne händ ganzi sächseachzigkommanün prozänt än grosse wunsch noch äre partnerschaft
107,wo au immer de polanzgi mit d neus te wäpresäntisch chuns zu contorwerse,wo au immer de polanski mit sim neuste wärk presänt isch chunnts zu kontroversä
108,drum stöndt heme wie nuchaltigeit und seilbesbestimig vo de lochale arfrikanische bevölkerig im zentrum,drum stön theme wie nochhaltigkeit und säbstbestimmig vo dr lokale afrikanische bevölkerig im zentrum
109,ich  überzüktevor dass unde junge mensche ihri aliege au unter breite wär,ich bi überzügt devo dass uns die junge mensche ihri ahliege au unterbreite wän
110,drotzdäm het sich bim dhemal zwuanderigt iistelig ganduret,trotzdäm het sich bim thema zuewanderig d ihstellig gänderet
111,s erste molsiiter saso nünd zäsebene achtzig achiachzig gön wider alli viersbitkbe stalhogele int schwi,s erste mol siit dr saison nünzähsiebeneachzigachteachzig gön wieder alli vier speedkristallkugele in d schwiiz
112,du wortisch wis me to sind,du wartisch bis mir do sind
113,si het em äfach dür zuegnalt,si het em eifach d tür zuegknallt
114,am zistig und mitwuch nod zum teilsunnig ige mein schwiel und gwitterhaft,am zistig und mittwuch nur zum teil sunnig allgemein schwüel und gwitterhaft
115,hunderdi höischrigke sitze uf em fäilt fast usieslich ufenander si pare sich legeeie,hunderti heuschrecke sitze uf em fäld fast ussschliesslich ufenander si paare sich lege eier
