,pred_str,text
0,agnäm mit temperature send än zistier warde,ahgnähmi temperature send abem zischtig zerwarte
1,sesch as be grosotergange ond gseit grossemuettervasescht uf för grossiore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,ezgidansinen jorka wo sech ne edetiordäfä well miemer tinizatifenergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,fener het sond zwoei alpptrie benniger gähn doch ääl het sie susmetlerwilevechauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dierptreztne pwe qw ws,die erföllt drichtlinie fode who mühelos
5,decekttwüt es böspele tenebeine ond dötet es bar on beteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grosssi ahtstel fosine ufdragöbereschüdisht em glaube gsi ond dodemet emnahte heöusgset,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochagechenitwenter dorchus stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevorde nach els der werdacho esch esch erem ächisch he rot ond statthalter fomersebor gse,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s chissm heit dodor au i morde izoghalte ond deen zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie sentemetdechtverchnöfti franze ovietecke kuatleverziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini better wärde als gnüst verändet,au sini blätter wärde als gmües verwändet
12,bsonder sederomandi nt digrüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,deusgang fode stadttrotswal em kane ond gänfescnoffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,di sächtediisgie e siede palemänti,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hofstätter klimaschoeksbärter bvevef schwiz esch aber ent tüscht fode konferänzemadrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lö sech bruef studiom ond aktivi politik beser veribahre,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het den stergno onder ecki buchfom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letsche täg sen en au shtralli e zwarshtortzuet odrisgi hagel chöner fom hemmel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,owode sonerferbiesche erplegrelle ond heugönprontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,onm biordiversitätide scstotzsneg guet velitier ond flanzsarte sid gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
