,pred_str,text
0,bem sch öblech esch en eiteilige azog met ärmel,bem schwömme öblech esch en eiteilige ahzog met ärmel
1,er het ehneeigedorkuert ond het dsoldate nochenand bem nome ufgrüeft,er het en elleige dorchquert ond het dsoldate nochenand bem name ufgrüeft
2,ide vergangeheit het auslow bandwif ixportcekt fom ces pcart indem bereich gschaffet,ide vergangeheit het au slowbandwidthxprojekt vom keith packard edem bereich gschaffet
3,aber s end so wisigdi chlini eschom schlofe,aber send sie lislig die chlini esch am schlofe
4,wiso spart er dene met de maria so vell gäld,wieso spart er dene met de maria so vell gäld
5,was seit sexoalpdagogig zor jenerchen porno,was seit dsexualpädagogik zor generation porno
6,tusigi nigiereanerinne land jedes johr ede prostitution em osland,tusigi niegerianerinne lande jedes johr ede prostitution em osland
7,de drock ofdregierig fo china seigi höch seit de wu,de drock of dregierig fo china seigi höch seit de wu
8,velli sudanesinne ond sudanese wänd offebr trotzabsetzig fom langzitescher albachir ned fode strossewiche,velli sudanesinne ond sudanesse wänd offebar trotz absetzig fom langzitherrscher albachir ned fode strosse wiche
9,well de status de esch dass de ba bede schwizer frönde lit,will de status de esch dass de ball bede schwizer frönde liht
10,näbe d höt öbleche bezeichnig als eichelher send zahlrichi anderi trivialnäme beleit,nebe de höt öbleche bezeichnig als eichelhäher send zahlrichi anderi trivialnäme beleit
11,so seig das au for zwänzg johr wo dschlössellochmethode sersctemol gmacht worde esch de fall gsi,so seigi das au vor zwänzg johr wo dschlössellochmethode serschtemol gmacht worde esch de fall gsi
12,mer hälfe au gägesitig mer schaffe e e teams ond send flexiel,mer hälfe eus gägesitig mer schaffe e teams ond send flexibel
13,am mentig sonne aber au es betzeli näbel,am mentig sonne aber au es bezzeli näbel
14,ich goh defo us as das gröberi handelschrieg usbräche wärde,ich goh defo us dass gröberi handelschrieg usbräche wärde
15,si alli interessiere sech för de googe kloud,sie alli enteressiere sech för dgoogle cloud
16,dodröber  us bsetze d werckstoff fode pfaffermönz au liecht beruhigendi effet,dodrüber hinus bsetzte dwerkstoff fode pfäffermönz au liecht beruigendi effekt
17,de esch fostier gsi wonerefahre het dass beli o sine wenigeszene useschnette worde send,depp esch frustriert gsi woner erfahre het dass veli fo sine wenige szene usegschnette worde send
18,am zischtig donnsctig ond samstig esch wochemärt wiener platz,am zischtig donnschtig ond samschtig esch wochemärt wiener platz
19,kei e behandelnde figure loht sech eidütig loh iordne esch nor guet oder nor schlächt,keini fode handelnde figure loht sech eidütig loh ihordne esch nor guet oder nor schlecht
20,bevor de achelstor erda cho esch escher em sächische rot ond statthalter fo mersebog gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
21,dchender send uffällig blas ond meistens scho nach chline asträngige erschöpft,dchender send uffällig blass ond meistens scho nach chline asträngige erschöpft
22,höt escher defo chom no öppis zgseh,höt esch defo chum no öppis zgseh
23,ede nachtfolged johr send se eber witgehen e vergesseheit grote,ede nachfolgende johr send sie aber witgehend e vergesseheit grote
24,de pfad sälber betoht zom grossteil osere stahlstiegealag,de pfad sälber bestoht zom grossteil osere stahlstiegealag
25,de dretti satz bestoht osem erföleche menuet gfolgt fomene trio e zmol,de dretti satz bestoht oseme fröhleche menuett gfolgt vomene trio e cmoll
26,zodem escher zodere zit edi liechti steinischi nationalmannschaft ufgrüeft worde,zodem escher zo dere zit edie liechtsteinisch nationalmannshaft ufgrüeft worde
27,au en dütschland het dbuechreihe gändshaut grosse erfolg,au en dütchland het dbuechreihe gänsehaut grosse erfolg
28,weder erholt escher am obe ofe arborg zom gmödleche teil öbere gange,weder erholt eschmer am obe ofe harborg zom gmüetleche teil öberegange
29,enere hesecht esch chilesschlosswecht en latinamerika,edere hesecht esch chile sschlossliecht en latinamerika
30,tozemol esch dpartei erscht e sächs gmeinde ofem erschte platz gsi,dozemols esch dpartei erscht e sächs gmeinde ofem erschte platz gsi
31,au ih han dem em parlamänt chönne zuestemme,au ich han dem em parlamänt chönne zuestemme
32,es heisst mobile indivdualverker es goht alsom sindividuum seit de burgner,es heisst mobile individualverchehr es goht also um individue seit de burgener
