,pred_str,text
0,agnäm i temperatur send ame zistig zewarte,ahgnähmi temperature send abem zischtig zerwarte
1,sie esch as bett fode grossmueter gange ond seit grossmueter was hesch du för grossi ore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,es gedanschinend johrgäng wo sech ned iede seohr träffe werd niem er dinitiative ergrüft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früener hets no zwoi alpbdrieb bweniger geh doch ei älper het sie susmetler wile verchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,die erfell d rechtlihne fode whawo müelos,die erföllt drichtlinie fode who mühelos
5,de jeck bribt es böses spelmet dene beide ond dötet es paar onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzal vo sine uftragäber esch jüdisch em glaube gsi ond dodemet em nahzettheer usgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chönne dwenter dorchos sträng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,wevor de nacht jass der werdacho esch escher em sächsische rot ond stadthalter fou mersebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisma het odor au met morde ihzog ghalte ond het de en zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demet rechtverchnöffti franse sowie degekcuasle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gmües verwändet,au sini blätter wärde als gmües verwändet
12,bsonders ede romantie händ die grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotswal em kanton gänf esch nocfe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächsetrisg jöhrig send es parlimänti,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hochstädter klimaschotzexspärt  bwewf schwiz esch aber en tüsche fode konferänze in madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lüönd sech bef studium ond aktivi politik besser leribahre,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het den scher gno ond der deckli buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letschte täg send en  australi etszparstorzfluete ond risigi hage chöner vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,oh wol de sommer fir biesch e erble grelle ond houor em brontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biotiversität ede schwiz schoht zneluet velli tier ond pflanzarte send gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,debes retch cha ls sognannti sprachzu texancien gsprochnigsi echtzit i text kommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,wenn genaudflagge zom ersct molghässe worde esch lohtsech nöme loh fescht selle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au emene ufdrengleche zignoss seit er äendlech emodmeini,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,dotruf aber heder sech zom khöniglo usrüefe,dodrufabe heter sech zom könig lo usrüefe
25,enerhaub fo chorze zit schwelle die betroffene stelle a wärde heisss rote ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händ jetzt de chräftige nordwestströmig wo d störigi es bes es mettelmeer um ine brengt,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,de suran ond au dforaltregione bliebe sonnig,de jura ond au dvoralperegione bliebe sonnig
28,jehrlech bsoechen öberhontet tristusig geisht de baaroksäl fode schrefzbibliothek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,uigure aber au kase stane tatare oder kie gise,uigure aber au kasachstane tatare ond kirgise
30,ich befo ene gschlage ond derankasiert worde globt ond be lont,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de technokchark esch es paradis för startag onternähme ond jongi töftler wo ire entwecklig ond dorchbroch verhälfe lwänt,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es segi für si aber e grossi pcance vieli fo ine amtskollege zträffe wenau e chorzezit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sondern lohsträte fo jugendleche wo jetzt grossi parteie es chwetze brenge,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,ssereff begleitet ds nationallti hut nöch dord wem ond zeigt exskplosivbelder fode schwizer lichtatlete ond echtatlete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es wartet nimer ofdeech,ond es wartet niemert of dech
36,ih ha mini härztättigkeit ned hestelle wenn du brühlsch als wärdi s härz broche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,er est mer emmer alles wäg,er esst mer emmer alles weg
38,es send dbärne kchraftwäch sälber gse wotde abeschaffig beschlosse händ,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem het er si ahgschrou ond het de prozäss onsachlech gfüehrt,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
40,e dem familiedrama werden stüritrieber potrisiert wo bescholdigt werd  bestächigssälder ahgnotzhah,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
41,die meischters zenn ond dialöh sendi provisiert worde,die meiste szene ond dialög send improvisiert worde
42,i be dash stöck känd nach minere lunamen provisiere,ich be das stöck grad nach minere lune am improvisiere
43,er het nie glehrttrede het nie glache dod i absoluti sexuelli ond finanzieligliichgöldigkei zeigt,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
44,er esch nöme welopfh well siesrötli weto het,er esch nöme velo gfahre well sis födli weh do het
45,zdemi hehn sech dnase grebe,sam het sech dnase grebe
46,genaueso hanie coltsen deerschti gsehhand,genau eso hani gluegt woni de ersti gseh han
47,er het d hand usgsreckt ond em cin fode lampe heni gsih dass zwoi vo sine chnöchel ufgschöfft send gsi ond blüetet händ,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
48,usglend hani s ned gstolle,usglehnt hanis ned gstohle
49,wennse aber störmt ond schneit esch de frelig nöme wit,wens aber störmt ond schneit esch de früehlig nöme wit
50,sit dandse ment jede modeförtsacht,sie tanzt met jedem wo deför zahlt
51,mie wärde warschinlech alli ungeholfe si,mer wärde wahrschindlech alli onbeholfe si
52,d sunne blibt üs erhaltä und zwar bis mitti nami,d sunnä blibt üs erhautä und zwar bis mitti nami
53,o dr hutkontakt mit dänä öl isch gsundheitlich unbedänklich,o dr hutkontakt mit denä öl isch gsundheitlech unbedänklech
54,ert wärdä bsunders dachbaukä und beschtandteile für bärghöttä produziert,dert wärdä bsunders dachbaukä und beschtandteilä für bärghüttä produziert
55,är isch einä vodä mitbegründer vom jungä dütschwiizer schpiufium,är sich einä vodä mitbegründer vom jungä dütschschwizer schpiufium
56,aus frou hets sich d möhechkeit vorä habilitation müessä erkämfä,aus frou hetsi sech d müglechkeit vorä habilitation müesse erkämpfä
57,d barbiudig isch fürnä reiä vo tier arteäsehr gründlech ungersuecht wordä,d paarbiudig isch fürne reihe vo tierartä sehr gründlech ungersuecht wordä
58,schnäu ischer i di damaligi volkszenä intagriert wordä und isch zumene bekantä fingerpicking gitarischt wordä,schnäu ischer idi damaligi folkszenä integriert wordä und isch zumene bekanntä fingerpickinggitarrischt wordä
59,lutem wirtschaftsetiker thomas beschorner wärdä ungernähmä zuenähmt zu politischä aktörä,lutem wirtschaftsethiker thomas beschorner wärdä ungernähmä zuenähmend zu politischä akteurä
60,är isch gwäut wordä trotz dä defizit wo ihm si agluschtet wordä,är isch gwäut wordä trotz dä defizit wo ihm si aaglaschtet wordä
61,d grossmueter unds rotchäppi ie schnapp imer beidi,d grossmueter und s rotchäppli die schnappimer beidi
62,das si di besser cha gseh,dassi di besser cha gseh
63,landwirtschaftsflächä prägä s lanshartsbiud vom schwizer mittuland,landwirtschaftsflächä prägä s landschaftsbiud vom schwizer mittuland
64,breit blättrigs chnabächrutt die orchideä isch ir schwiz gschützt,breitblättrigs chnabächrut  die orchideä isch ir schwiz gschützt
65,wo obsctpöm schtö chöi regulmässig gartävöku widr gartärotschwanz oder drschpächt beobachtet wärdä,wo obschtböim schtö chöi regumässig gartävögu wi dr gartärotschwanz oder dr schpächt beobachtet wärdä
66,ä knaugälte schmätterling flatteret öber dwisä,ä knaugäubä schmätterling flatteret überd wisä
67,die trisg quadratmeter grossi landwirtschaft chöimer nid nach naturschutzlehrbuech blegä,die drissg quadratmeter grossi landwirtschaft chöimer nid nach naturschutzlehrbuech pflegä
68,äs sig im iträssä vor wüssäschafft we methodä vor komplementiärmedizin wüssuschaftlech erforscht würdä,es sig im inträssä vor wüssäschaft we methodä vor komplementärmedizin wüssäschaftlech erforscht würdä
69,ab nünzähdrüesächzg isch d verwändig vo radium verbotä wordä,ab nünzähdrüäsächzg isch d verwändig vo radium verbottä wordä
70,in lasangeles gsäichä jogendlechi im duschnit vier aukohowärbigä am trag,in los angeles gsächä jugendlechi im durchschnitt vier aukohouwärbigä am tag
71,d lindä isch bis i mereri meter höchi mit chnouä bülä und wuucherigä überseit,d lindä isch bis i mehreri meter hööchi mit chnouä bülä und wucherigä ubersäit
72,drawerschpiler beier isch blitztschnäeu fürä gschossä und het per chopfbau vouändet,dr abwehrschpiler beier isch blitzschnäu fürägschossä und het per chopfbau vouändet
73,ä schtürmischä herbscht bringt viu gwitter dur caudi luft,ä schtürmische herbscht bringt viu gwitter und chauti luft
74,die dän ischi regierig wo d mitinovämber bir iirais vo schweedä nach dänemark wider gränzekontrouä ifüehrä,die dänischi regierig wott mitti novämber bir iireis vo schwede nach dänemark wider gränzkontrouä iifüehrä
75,so sig öpin china mit dr asiatischi infrastruktur inwessemenbänk ä gägenentwurft zum iwf entschtandä,so sig öppä in chinä mit dr asiatischä infraschtruktur investmentbank ä gägäentwurf zum iwf entschtandä
76,handlet sech drbi um meh us nu mä nachheiifä ungerricht,handlet sechs drbi um me aus numä nachhiufeungerricht
77,s noubordä hen di höehpunkt und jartusig wändi erreicht mittlerwilä nähmed dzahlä vos noubortfahre tendenziel ab,s snowboardä het si höhepunkt umd jahrtuusigwändi erreicht mittlerwilä nämä d zahlä vo snowboardfahrer tendenziell ab
78,und wie schobt nihd ronaldo,und wi schtopptmä dr ronaldo
79,am sunntig und am mäntig zitwiis sunnig,am sunntig und am mäntig zitwiis sunnig
80,si schef bezeichnit dä as guetä fründ,si chef bezeichnet är aus guetä fründ
81,umä söt ändlech mit ter subventionierig vovossilä brönschtocfe ufhörä,und mä sött ändlech mit dr subventionierig vo fossilä brönnschtoffä ufhörä
82,es isch aber chumzs erwartä dass nasä di rund füfä zwänzg milliardä usdoller uesätzslech bechunt wo si für ds projekt kalkuliert het,es isch aber chuum d erwartä dass d nasa die rund füfäzwänzg milliardä usdollar zuesätzlech bechunnt wosi für das projekt kalkuliert het
83,im betrieb machte der pauernap ufem betribs eigena etsse,im betriib machter dr powernap ufm betriibseigene wc
84,nobäd nit hie d iisdicki sächshundert bis sibähundert meter,no betreit hie d iisdicki sächshundert bis sibähundert meter
85,s wärner soziauamt isch am mäntig vormittag fürne schtellignahm nid erreichbar gsi,s bärner soziauamt isch am mäntigvormittag fürnä schtellignahm nid erreichbar gsi
86,gota het sech nu angeri onabhängigi schtudios aagruegt,coppola hetsech no angeri unabhängigi schtudios aagluegt
87,dänä heisi sich ä nöui exischtänzmiss ufboue,dänä hetsisech ä nöii exischtänz müesse ufbouä
88,si het sech für ihri voreilige emerkig gschämmt,si hetsech für iri voreiligi bemerkig gschämt
89,bring di hägs eifach um und preässier dermit hetsi gseit,bring die häx eifach um und pressier drmit hetsi gseit
