,pred_str,text
0,ahgnaumi temperatur send am zisctig zarte,ahgnähmi temperature send abem zischtig zerwarte
1,si sch as bett vode grossmueter gange ond gseit grossmueter was heschdu för grossi ohre,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,es gidanschinend johrgäng wo sech ned ides johr träffe werd niemer dinitiative ergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früener hets o zwoi albbtrie bweniger geh doch ei älper het sies usmetterwiele verchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,diert föllt d rechtline fode vhawo müelos,die erföllt drichtlinie fode who mühelos
5,de jack trit es böses spilmet dene heide ond dötesct es paar onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,ene grossi ahzal fo sine uftragg heber eschjüdischem glaube gi ondt dodemet em nahsetheer usgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chönne dwenter dorchus stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,wevor de nach easder werdacho esch escher em sächsische rot ond stadthalter fom mersebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisma het odor au etm morde izogghalte ond dehet deenzweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demet echt verchnffti franze sowie deg krossle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gmües verwändet,au sini blätter wärde als gmües verwändet
12,bsonders ede romantie händ die grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotswahll em kanton gänf esch nocfe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächse drisgjöhrig send es parlänt i,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hochstätter klimaschotzegspertb wf schwiz esch aber en tüscht vode konferänz en madrid,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lönd sech def studium ond aktivi politik besser beriibare,so lönd sech bruef studium ond aktivi politik besser veribare
