,pred_str,text
0,agnau mit temperatur send am ziestigzwarte,ahgnähmi temperature send abem zischtig zerwarte
1,si sch as bett fode grossmuetter gange ond gseit grossmueter was heschdu för grossi jore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgidanschinend johrgäng wo sech ned dös johr träffe werd niem er dinitiative ergrif,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früener hets om zwoi alpb driebweniger geh doch ei älper het sie susmetterwile verchhauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dier föllt d rechtline fode whwo müelos,die erföllt drichtlinie fode who mühelos
5,dejck rit es böses spilmet denchleide ond dött es paar onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzehl fo sine uftraggäber esch jüdischem glaube gi hond dodemet em nahzitheer usgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chönnedwenter dorchs sträng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,wevor de nach s der werdacho esch escher em sächsische rot ond stadthalter fom mersebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schissma het odor au mem morde izogghalte ond dhetde nzweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,si sönd emet echt verchnfti franse sowie degkosle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gmües verwändet,au sini blätter wärde als gmües verwändet
12,sonders ide romandin händ die grüehne chönne ponke,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotswahl em kanton ganf esch nofe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächzedrisgjöhrig sind es parmänt i,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hohstätter klimaschotzergspärt be wf schwiz esch aber en tüsch fode konferäenz en madrid,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lönnd sech df studium ond aktivi politik besser beri bahre,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het den scherg no ond de decki buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letschte täg send en au strali ezparstorzfluete ond wisgi hagel chönner vom hemelheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,au wolde sommer fürbieesch erbele grelle ond houshnöm brontwe,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biodiversität ede schwiz scohtz neguet velli tier ond pflanzarte send gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,dabes brch chals sognannti sprachzu texancrin gsprochnigsiächzit i text kommentier,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,wen genaud flagge zom erscht mol gheisse worde esch lohtsech nöme lo fescstsfelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au imene ufdrengliche zignos seit er ändlich em odmeing,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,dodruf abheder sech zom könig lo usrüefe,dodrufabe heter sech zom könig lo usrüefe
25,enerhaub fo chorze zit schwelleddi betroffene stelle a wärede heiss rot ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händ jetz de chräftige nordweschtströmmig wo dspürigi es bes es mettelmer umine brengt,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,de ura ond au dvoraltregione bliebe sonnig,de jura ond au dvoralperegione bliebe sonnig
28,jehlech versuechen öber hondert tristuusig geist de barocksal fode schefzbibliotek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,uigure aber au kasastane tatare oder ki ghise,uigure aber au kasachstane tatare ond kirgise
30,ich befu ene gschlage ond drankassiert worde globt ond belont,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de technokark esch es paradis för starebonternähme ond jongi töftler wo hre entwicklig ondorchproch verhälfe wänd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es segi fer si abere grossi chance velli vo ene amtzkollege zträffe wennau echorze ziit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sondern lonsräte vo jugendleche wo jezt grossi parteie es chwetzer bringe,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,sserff begleitet ds nationaltimu nöch dord wem ond zeit esklusivfbelder fode schwizerliechtathletie ond iechtalete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es wartet neer of dech,ond es wartet niemert of dech
36,ich ham mini härztätigkeit ned ehstelle wenn du brühlsch als wärdi s härz broche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,er est mert emer alles wäg,er esst mer emmer alles weg
38,es send d bärne chraftwäch sälbergsiode abschaffig beschlosse hännd,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem het er si ahgschou ond het de prozäss orsachlech gfüehrt,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
40,edem familiedrahma werden stüritriber potrsiert wo bescholdigg wird bestächigsgälder ahgnohtzah,idem familiedrama werd en stüritrieber portraitiert wo bescholdigt werd bestechigsgälder ahgno zha
41,die meischtes zen ond dialög sendi provisiert worde,die meiste szene ond dialög send improvisiert worde
42,i be dahs stöck ga nach minere luneameinprovisiere,ich be das stöck grad nach minere lune am improvisiere
43,er het nie glehrt rede het nie glachedom e absoluti sexuelli ond finanzelliglich göldigkei zeigt,er het nie glert rede het nie glachet ond het absoluti sexuelli ond finanzielle glichgöltigkeit zeigt
44,är esch nememelopf wel sis schöt li ito het,er esch nöme velo gfahre well sis födli weh do het
45,sm het sech dnase grebe,sam het sech dnase grebe
46,genaue so han  loutende erschti gseh han,genau eso hani gluegt woni de ersti gseh han
47,er het d handusgsteckht ond em schin fode lampehanni gsih dass zwoi fo sine chnöchel ufgschöft sind gsi ond plüetet händ,er het dhand usgstreckt ond em schien fode lampe hani gseh dass zwei fo sine chnöchel ufgschörft send gsi ond blüetet händ
48,usglend hanis ned gstolle,usglehnt hanis ned gstohle
49,wee aber störmt ond schneit esch de frelig nöme wit,wens aber störmt ond schneit esch de früehlig nöme wit
50,si tanseet jede mode förzat,sie tanzt met jedem wo deför zahlt
51,mie wärde warschenlech aalli onholfe si,mer wärde wahrschindlech alli onbeholfe si
