,pred_str,text
0,agnähmi temperatur send ame zistig zarte,ahgnähmi temperature send abem zischtig zerwarte
1,si esch as bet fode grossmueter gange ond gseit grossmueter was hesch du för grossi jore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,skidanschinend johrgäng wo sech ned edesjohr träffe werd niemer dinitiative ergrifft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früene hetso zwoöi alpb drieb weniger geh doch ei älper het sie s usmetter wile verchauuft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,die erföll d rechtlinne fode wehaor müelos,die erföllt drichtlinie fode who mühelos
5,de jeck triebt es böse spel met dentscheide ond dötet es paar onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzahl vo sine uftraghäber esch jüdisch em glaube gi ond dodemet em nahzitheer usgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chönne dwenter dorchos sträng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,wevor de nache ass der werdacho esch escher em sächsische rot ond stadthalter fom märsebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisma het odor au et morde ihzogghalte ond dhet dän zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,si send demet echt verchnöfti franse sowie deg khosle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gnües verwändet,au sini blätter wärde als gmües verwändet
12,bsonders ede romanti händ die grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotzwahl em kanton gänf esch nofe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächedrisgjöhrig zie s paänt i,die sächsedrigs jährig zieht es parlamänt ih
15,patrikh hofhstätter klimaschotzexspert fe ewf schwiz esch aber en tüsch fode konferänz en madrid,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lönt sech bef studium ond aktivi politik besser beribahre,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het den schergno ond de decki buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letschte täg send ee australi hetgar storzfluete ond iisigi hagechönne vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,a wolde sommer flbie esch serble grelle ond oiuen prontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biotribwersität ehder schwiz schotzne guet  velli tier ond pflanzearte send gföhrdet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,debs gich chals sognanti sprachzu texencen gsprochnigs e ächzitig textkommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,wenn genau d flage zom ersct mol ghäss worde esch lohtsech nöme loh feschttelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au emen ufdrenglche zignoss seit er ändlech emoddmeing,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,dotruf ab heder sech zom khönnig lo usrüege,dodrufabe heter sech zom könig lo usrüefe
25,enerhaub oo chorze ziit schwelle die betrofene stelle a  wärde heiss rote ond möcheblotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händ jetz de chläftige nordweschtstömig wo d sptörigi es bes es mettelmer um ihne brengt,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,de dura hond au dforalt regione bleebe sonnig,de jura ond au dvoralperegione bliebe sonnig
28,jehrlech versueche öberhonte dristusig geist de baroksl fode scheftzbibliothek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,uigure aber au kasa shtane tatare oder kigise,uigure aber au kasachstane tatare ond kirgise
30,ich befuo ene gschlage ond drankassiert worde globt ond be lont,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de technukhark esch es paradis för starcheg onternähme ond jungi töftler wo ehre entwicklig ond dorchbroch verhälcfe wänt,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es segi föür si abere grossi schance velli vo ihne amtzkollege z träffe wänn au i chorze zit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sondern loswätte vo jugendleche wo jetzt grossi parteie es schwetzer bringe,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,sserrf begleitet ds nationalti nöch dor d wm und zeigt exsklusivbelder fode schwiz er lichtathletie ond lechtatlete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es warted nider ouf dech,ond es wartet niemert of dech
36,ich ha meini härz tätig keit ned hehstelle wenn du brüehlsch als wärdis härz broche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,er est mer mmer alles wäg,er esst mer emmer alles weg
38,es send bäne chraftwärch sälbergse od abschaffig beschlosse händ,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem het er si ahgschroo ond het de prozäss orsachlech gfüehrt,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
