,pred_str,text
0,ahgnau mi temperature send ame zistigzwarte,ahgnähmi temperature send abem zischtig zerwarte
1,asi esch as bett fode grossmuter gange ond gseit grossmueter was heisch du för grossi jore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgid anschinend johr gäng wo sech ned ie desortäffe werd niemer  dinitiativen ergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früener hets no zwoi albbdrieb bweneger geh doch ei älper het sie susmeder wiele verchauft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dier föllt d rechtline fode wher müelos,die erföllt drichtlinie fode who mühelos
5,detjeck triet es böse spelmet den scheidne ond dötet es paar onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzahl fo sine uftraggäber esch jüdisch em glaube gsii ond dodemet em nahzithieger usgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chöne dwenter dorchos stäng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,wbevor de nacht idass der werda cho esch escher em sächsische rot ond stadthalter fo merseborggsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s chisma het odor au et morde ihzogghalte ond dhet dä m zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demet echt verchnöffti frane sowie deg kchossle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gmües verwändet,au sini blätter wärde als gmües verwändet
12,bsonders ede romansie händ die grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotzwahle em kanton gänf esch noffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächzedrisgjöhrig sendes parlänti,die sächsedrigs jährig zieht es parlamänt ih
15,patrichofstädter klimaschotze gsperte bewf schwiz esch aber en tüsch fode konferänz en madrid,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lönnt sech bf studium ond aktivi politik besse eribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en scherg no ond de decki buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letschte täg send en australi esar storzfluete ond isigi hagel chönner vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,oh wol de somer zür bie esct gerbl e grelle ond hoisc memt brontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biodiversität ede schwiz stohtz ned guet velli tier ond pflanzarte send gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
