,pred_str,text
0,ahgnäm i temperature send abme ziestig zewarte,ahgnähmi temperature send abem zischtig zerwarte
1,se ech as bett fode grossmutter gange ond gseit grossmueter was hesch du för grossi jore,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,esgidanschinend johrgäng wo sech ned ideseohr träffe werd niemer dinitiativen ergrift,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früene hetsno zwoi alpbdriebbweneger geh doch ei älper het sies husmeter wiele verchrft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,die föll drechtlinne fode wehavo müelos,die erföllt drichtlinie fode who mühelos
5,de jjag trit es böses spilmetdelnesheide ond dötet es paar onbeteiligt i,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzeahl fo sine uftraggäber esch hüdischem glaube kri ond dodemet em nahzettheer usgsetzzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chönne dwenter dorchos sträng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevor de nacht gas der werdacho esch escher em sächsische rot ond stadthalter fom merseborg gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisma het dodor au met morde iizzogghalte ond d het de n zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send emet echt verchnöfft i franse sowie degkcosle verziehrt,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gmües verwändet,au sini blätter wärde als gmües verwändet
12,bsonders wede romandie händ die grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotswahl em kanton gänf esch nooffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächsedriisgjöhrig send es parlamänt ih,die sächsedrigs jährig zieht es parlamänt ih
15,patrich hofstätter klimaschotzexsbert be wf schwiz esch aber en tüscht fode konferenze en madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,so lönnd sech duf studium ond aktivi politik besszer beribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en schergn ond de decki buech fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letschte täg send enn australi etzar storzfluete ond wiisgi hagel chönner vom hemelgeit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,oh wol de somer fu biersch e  rble grelle ond he emt frontwe,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biodifersität ede schwiiz scohtzneguet veli tier ond flanzearte send gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,tebes gtsch cha als sognannti sprach zu textenchin gsprochnigs ächtziit i text kommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
22,wen genau d flage zom ersct mol gheisse worde esch lohtsech nöme loh fesctstelle,wenn genau dflagge zom erschte mol gheisse worde esch loht sech nöme loh feschtstelle
23,au emene ufdrängleche zignoss seit er endlech e mod meing,au emene ufdrengleche zitgnoss seit er ändlech emol dmeinig
24,dotrf abreter sech zom könniglo usrüefe,dodrufabe heter sech zom könig lo usrüefe
25,ennerhaub vo chorze ziit schelle di betrofne stelle ah währede heis rote ond möche blotere,innerhalb fo chorzer zit schwälle die betroffene stelle ah wätrde heiss rot ond möche blottere
26,mer händ jetzt sech äftige nordwesctströmig wo d spörigi ess bes es mettel meer umine brengt,mer händ jetzt e chräftigi nordweschtströmig wo dstörige jetzt bes e mettelmeerruum inebrenge
27,de turan hond au de vforalte regione bliebe sonnig,de jura ond au dvoralperegione bliebe sonnig
28,jehlech versuechen öberhontet driistuusiggeist de baroksall fo de scheftzbibliotek,jährlechbsueche öber hondertdrigtuusig gäscht de barocksaal fode stiftsbibliothek
29,uigure aber au kasa stane tatare oder ki gisse,uigure aber au kasachstane tatare ond kirgise
30,ich be fu ene gschlage ond drankassiert worde globt ond belont,ich be fo ehne gschlage ond dranglasiert worde globt ond belohnt
31,de technokark esches paradis för starcabonternähme ond jongi töftler wo ihre entwecklig ondorchproch verhälfe wänd,de technopark esch es paradis för startuponternähme ond jongi töftler wo erere entwecklig zom dorchbroch verhälfe wänd
32,es egi föür si abere grossi scance velli fo ine amtkollege zträffe wenn au ie chorze ziit,es seigi för sie aber e grossi chance velli fo erne amtskollege zträffe  wenn au e chorzer zit
33,sondern losträte fo jugendleche wo jetzt grossi partei es shwetzer brenge,sondern losträtte fo jugendleche wo jetzt grossi parteie es schwetze brenge
34,esserf begleitet ds nationalziuutnöcht dor d wem ond seigt exklosivbelder fode schwiizer liechtatlete ond liechtatlete,srf begleitet snationalteam hutnöch dor dwm ond zeigt exklusiv belder fode schwizer liechtatlethinne und liechtathlete
35,ond es wartedt neer of dec,ond es wartet niemert of dech
36,ich ha mini härztätigkeitned ehstelle wenn du brühsch als wärdi s härz broche,ich chan mini härztätigkeit ned ihstelle wenn du brüellsch als wär dis härz broche
37,er est mert emmer alles wäg,er esst mer emmer alles weg
38,es send bärne chraftwäch sälbergsil wode abschaffig beschlosse händd,es send dbärner chraftwärch sälber gsi wo dabschaffig beschlosse händ
39,osserdem heter si ahgschoh ond het de prozäss osachlich gfüehrt,osserdem häter sie ahgschroue ond het de prozäss onsachlech gfüehrt
