,pred_str,text
0,ahgnähmi temperature send ame zistig zwarte,ahgnähmi temperature send abem zischtig zerwarte
1,se esch as bett fode grossmuetter gange ond gseit grossmueter was hesch du för grossi johre,sie esch as bett fode grossmuetter gange ond gseit grossmuetter was hesch du för grossi ohre
2,sgidanschinend johr gäng wo sech ned edös johr träffe werld niemerdinitiativen ergrieft,es geht anschinend johrgäng wo sech ned jedes johr träffe well niemert dinitiative ergrifft
3,früener hets no zwoi alpbbdriebbweneger geh doch ei älper het sies usmoterwielle verchaft,früehner het sno zwei alpbetrieb weniger geh doch ei älpler het sis hus mettlerwile verchauft
4,dier föllt drechtline fode wehvo müelos,die erföllt drichtlinie fode who mühelos
5,de jeck trit es böses spilmet dene scheide ond dötet es par onbeteiligti,de jack triebt es böses spel met dene beidne ond tötet es paar onbeteiligti
6,en grossi ahzahl fo sine uftragäber esch hjüdisch em glaube gii ond dodemet em nahzitheer usgsetzt,en grossi azahl fo sine uftraggeber esch jüdischem glaube gsi ond dodemet em naziterror usgsetzt
7,ede hochlage chönne  dwenter dorchos sträng wärde,ede hochlage chönne dwenter dorchus sträng wärde
8,bevor de nacht sder werdacho esch escher em sächsische rot ond stadthalter fom märsebor gsi,bevor de nach elsterwerda cho esch escher em sächsische rot ond statthalter fo merseborg gsi
9,s schisma het dodor au et morde ihzogghalte ond dhdan zweit,sschisma het dodore au em orde izog ghalte ond het de entzweit
10,sie send demet echtverchnüfpfti franse sowie degkosle verziert,sie send met decht verchnüpfte fransle sowie decke quasle verziert
11,au sini bletter wärde als gmüesverwändet,au sini blätter wärde als gmües verwändet
12,bsonders eder romandie händ die grüene chönne ponkte,bsonders ede  romandie händ die grüene chönne ponkte
13,de usgang fode stadtrotswahl em kanton gänlf esch nooffe,de usgang fode ständerotswahle em kanton gänd esch no offe
14,die sächsedrisgjöhrig sind es parlmänti,die sächsedrigs jährig zieht es parlamänt ih
15,patrichhofstädter klimaschotzexsbertbwf schwiz esch aber en tüscht fode konferenz in madrit,patrick hofstetter klimaschotzexperte be wwf schwiz esch aber enttüscht fode konferenz en madrid
16,zo lönd sech df studium ond aktivi politik besser eribare,so lönd sech bruef studium ond aktivi politik besser veribare
17,er het en schergno ond de decki buch fom wolf ufgschnette,er het en scher gno ond de decki buch vom wolf ufgschnette
18,ede letschte täg send en australetzoarstorzfluete ond wisigi hagelchönner vom hemel gheit,ede letzte täg send in australie zwar storzfluete ond riesigi hagelchörner fom hemmel gheit
19,o wol de sommer föbieresch erble grelle ond ousc mtgrontwet,obwohl de sommer verbi esch zerpe grelle ond heugömper om dwett
20,om biodiwversität ede schwiiz scotz neuet veli tier ond flanzarte send gfördet,om dbiodiversität ede schwiz stohts ned guet velli tier ond pflanzearte send gföhrdet
21,deabes ietsch cha ls sognannti sprachzu textanchien gsprochnigsieechtziti text krommentiere,deep speech cha als sognannti sprachzutextengine gsprochnigs e ächtzit e text konvertiere
